Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/5de20d6d-d430-4db9-858f-02479199e838/lock
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-terminal/3.9.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-terminal-jansi/3.9.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.google.code.findbugs/jsr305/3.0.2
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-io/1.5.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-lang/1.5.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-monitors/1.5.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-net/1.5.0
2019-12-31T14:10:13,988 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-spi/1.5.0
2019-12-31T14:10:13,990 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-store/1.5.0
2019-12-31T14:10:13,990 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-util-property/1.5.0
2019-12-31T14:10:13,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam/4.13.1
2019-12-31T14:10:13,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-extender-service/4.13.1
2019-12-31T14:10:13,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-inject/4.13.1
2019-12-31T14:10:13,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-invoker-junit/4.13.1
2019-12-31T14:10:13,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-container-rbc/4.13.1
2019-12-31T14:10:13,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-core/1.8.2
2019-12-31T14:10:13,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-extender/1.8.2
2019-12-31T14:10:13,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-framework/1.8.2
2019-12-31T14:10:13,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-lifecycle/1.8.2
2019-12-31T14:10:13,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-tracker/1.8.2
2019-12-31T14:10:13,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.hamcrest.core/1.3.0.1
2019-12-31T14:10:13,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.junit/4.12.0.1
2019-12-31T14:10:13,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.yaml/snakeyaml/1.23
2019-12-31T14:10:13,995 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Stopping bundles:
2019-12-31T14:10:13,999 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.logging.pax-logging-log4j2/1.10.1
2019-12-31T14:10:14,783 | WARN  | features-3-thread-1 | jline                            | 43 - org.jline.terminal - 3.9.0 | Unable to create a system terminal, creating a dumb terminal (enable debug logging for more information)
2019-12-31T14:10:14,992 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:15,026 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:15,027 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.felix.metatype/1.2.2
2019-12-31T14:10:15,042 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.felix.scr/2.1.14
2019-12-31T14:10:15,083 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:15,146 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:15,157 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.scr.state/4.2.2
2019-12-31T14:10:15,169 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.scr.state/4.2.2
2019-12-31T14:10:15,172 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
