GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.SourceStrategyOptionsObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,KubeSchemaFluentImpl.TypeMetaNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,ComponentConditionBuilder,268,0,30,0,58,0,28,0,13,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,VolumeFluentImpl.AzureDiskNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableContainer.new Function() {...},8,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,KubeSchemaFluentImpl.SecretListNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableFlexPersistentVolumeSource,51,0,0,0,7,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableStorageOSPersistentVolumeSource,51,0,0,0,7,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableGroupVersionResource.new Function() {...},8,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneablePodAffinity,51,0,0,0,7,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneablePersistentVolume.new Function() {...},8,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,GroupVersionResourceBuilder,245,0,30,0,54,0,28,0,13,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.SELinuxStrategyOptionsObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,KubeSchemaFluentImpl.ObjectMetaNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,Probe,249,218,66,12,5,37,41,22,4,20
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.TagImageHookObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,KubeSchemaFluentImpl.SecurityContextConstraintsListNestedImpl,35,0,0,0,8,0,4,0,4,0
